START TIME,DURATION,TITLE,ARTIST,ALBUM
12/6/12 9:03,14:26,"1812 Overture, Op.49",Royal Liverpool Philharmonic Orchestra,Tchaikovsky 1812 etc
12/6/12 9:19,8:06,"Concerto in D minor, BWV1052 1. Allegro",Xuefei Yang,J.S. BACH: CONCERTOS & TRANSCRIPTIONS
12/6/12 9:28,6:57,"Concerto in D minor, BWV1052 2. Adagio",Xuefei Yang,J.S. BACH: CONCERTOS & TRANSCRIPTIONS
12/6/12 9:34,8:30,"Concerto in D minor, BWV1052 3. Allegro",Xuefei Yang,J.S. BACH: CONCERTOS & TRANSCRIPTIONS
12/6/12 9:45,6:57,Piano Trio HOB XV:19 in G minor 1. Andante-Presto,Beaux Arts Trio,HAYDN COMPLETE PIANO TRIOS
12/6/12 9:52,4:33,"Piano Trio HOB XV:19 in G minor 2. Adagio, ma non troppo",Beaux Arts Trio,HAYDN COMPLETE PIANO TRIOS
12/6/12 9:56,3:17,Piano Trio HOB XV:19 in G minor 3. presto,Beaux Arts Trio,HAYDN COMPLETE PIANO TRIOS
12/6/12 10:06,18:09,Concerto for 2 Pianos in A flat major 1. Allegro vivace,Benjamin Frith & Hugh Tinney,MENDELSSOHN: Concertos for Two Pianos
12/6/12 10:24,11:00,Concerto for 2 Pianos in A flat major 2. Andante,Benjamin Frith & Hugh Tinney,MENDELSSOHN: Concertos for Two Pianos
12/6/12 10:35,13:58,Concerto for 2 Pianos in A flat major 3. Allegro vivace,Benjamin Frith & Hugh Tinney,MENDELSSOHN: Concertos for Two Pianos
12/6/12 10:51,4:00,"Prelude and Fugue No.1 in D minor for Violin, Viola & Cello, KV404a 1. Adagio",Grumiaux Trio,MOZART • COMPLETE STRING TRIOS & DUOS
12/6/12 10:55,3:48,"Prelude and Fugue No.1 in D minor for Violin, Viola & Cello, KV404a 2. Fuga",Grumiaux Trio,MOZART • COMPLETE STRING TRIOS & DUOS
12/6/12 11:04,16:48,Symphony No. 3 1. I,Danish National Symphony Orchestra/Danish National Choir,Per Nørgård Symphonies 3 & 7
12/6/12 11:21,25:48:00,Symphony No. 3 2. II,Danish National Symphony Orchestra/Danish National Choir,Per Nørgård Symphonies 3 & 7
12/6/12 11:49,3:10,Sonata in G minor for recorder & continuo 1. Andante,Michala Petri & George Malcolm,The Art of the Recorder
12/6/12 11:52,1:56,Sonata in G minor for recorder & continuo 2. Minuetto,Michala Petri & George Malcolm,The Art of the Recorder
12/6/12 11:54,1:00,Sonata in G minor for recorder & continuo 3. Adagio,Michala Petri & George Malcolm,The Art of the Recorder
12/6/12 11:55,3:18,Sonata in G minor for recorder & continuo 4. Allegro,Michala Petri & George Malcolm,The Art of the Recorder
